tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,conditions
31,18,25.7,71.2,18.988,100,12.5,40.7,998.7,5,0,21,1829.84,13,201.0407578,"Rain, Partially cloudy"
32.4,28,29.2,85.1,2.282,100,8.33,11.5,998.8,8,5,31,2484.92,4.4,176.545901,"Rain, Partially cloudy"
34.6,28,30.1,80,1.494,100,4.17,13.8,998.8,8,4,31,2408,6.6,174.335162,"Rain, Partially cloudy"
35.4,26.8,31,77.6,3.403,100,4.17,14,998.8,7,6,28,2405.6,8.6,170.2397781,"Rain, Partially cloudy"
39,24.9,30.9,65,0,0,0,20.5,996.2,6,4,26,2008.5,14.1,170.2683303,Partially cloudy
38,28,32.4,56.5,0,0,0,25.3,998,6,5,26,1830.6,10,157.9177568,Partially cloudy
39.2,28,34.2,51.3,0,0,0,20.5,1000.8,6,6,26,1754.46,11.2,145.8253125,Partially cloudy
35,27,31.4,60.3,0,0,0,20.5,1004.7,6,0,27,1893.42,8,165.2723132,Partially cloudy
35,26.8,30.9,60.5,0,0,0,14.8,1003.9,6,1,27,1869.45,8.2,167.7448122,Partially cloudy
37,28,32.5,65.4,0,0,0,27.5,995.9,7,2,29,2125.5,9,162.6240183,Partially cloudy
37,29.2,31.9,64.6,0,0,0,17.8,995.2,7,3,29,2060.74,7.8,165.2164933,Partially cloudy
33.3,28,29.7,82.4,0.3,100,4.17,14.8,998.8,7,5,29,2447.28,5.3,175.3885169,"Rain, Partially cloudy"
35.2,26.8,29.8,84.8,26.194,100,12.5,16.6,998.8,7,3,28,2527.04,8.4,173.1820908,"Rain, Partially cloudy"
36.1,29.6,32.3,74,0.119,100,4.17,18.4,998.8,7,2,29,2390.2,6.5,164.2240272,"Rain, Partially cloudy"
36.1,24.8,30.6,68.2,5.104,100,4.17,23.3,998.8,6,5,24,2086.92,11.3,172.8592452,"Rain, Partially cloudy"
35,27,30.6,75.5,0,0,0,14.8,1001,7,1,30,2310.3,8,173.015496,Partially cloudy
36.9,29,31.8,70.3,33.922,100,8.33,37.1,998.8,7,3,27,2235.54,7.9,167.0140041,"Rain, Partially cloudy"
35,28.8,31.4,72.9,0,0,0,16.6,1002.8,7,3,30,2289.06,6.2,169.0700665,Partially cloudy
42.7,27,33.4,62.4,22.117,100,4.17,14.8,998.9,7,6,28,2084.16,15.7,157.3031657,"Rain, Partially cloudy"
36.5,28,30.9,82.3,7.656,100,4.17,14.8,998.9,8,1,33,2543.07,8.5,168.5179602,"Rain, Partially cloudy"
38.7,30,32.9,57.8,0.03,100,4.17,16.6,998.9,6,5,24,1901.62,8.7,156.7964541,"Rain, Partially cloudy"
28.2,24.9,26.9,95.7,40.664,100,16.67,17.7,998.9,8,2,34,2574.33,3.3,179.876435,"Rain, Partially cloudy"
32.6,26,29.1,70.6,0,0,0,20.5,1001.3,7,1,31,2054.46,6.6,181.3544043,Partially cloudy
