tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,condition_severity
35.5,28.0,31.3,76.7,0.0,0,0.0,18.4,999.3,7,0,29,2400.71,7.5,168.8884097,1
38.9,25.1,32.3,67.1,8.285,100,8.33,33.6,995.8,6,5,23,2167.33,13.8,164.0531185,2
38.0,28.9,33.6,66.0,5.955,100,4.17,18.4,995.9,7,4,28,2217.6,9.1,157.5958154,2
34.0,29.0,31.2,70.1,0.34,100,4.17,15.1,996.0,7,1,28,2187.12,5.0,170.0820898,2
35.1,28.1,31.2,76.9,0.0,0,0.0,18.4,995.7,7,4,29,2399.28,7.0,169.3718733,1
31.3,24.0,27.1,92.2,120.312,100,8.33,18.4,999.5,7,5,29,2498.62,7.3,183.0162415,3
36.4,28.0,30.9,82.9,0.415,100,4.17,11.2,996.1,8,0,32,2561.61,8.4,168.1311325,2
36.0,29.0,32.7,66.9,0.1,100,4.17,14.8,996.1,7,0,28,2187.63,7.0,162.0663175,2
30.0,26.0,27.5,90.9,8.507,100,12.5,16.3,996.1,7,4,29,2499.75,4.0,181.8668052,2
42.2,26.7,34.8,30.8,0.979,100,4.17,26.9,996.1,5,5,20,1071.84,15.5,111.8565634,2
39.2,27.0,31.9,63.9,0.851,100,4.17,14.8,996.2,6,1,26,2038.41,12.2,164.9255562,2
34.1,25.1,29.6,81.3,0.0,0,0.0,16.6,996.2,7,4,30,2406.48,9.0,176.5922662,1
38.0,26.1,32.4,61.9,0.299,100,4.17,16.6,996.4,6,6,23,2005.56,11.9,161.6167508,2
41.0,31.7,35.1,61.9,3.585,100,8.33,17.5,996.5,7,4,27,2172.69,9.3,149.6343597,2
34.0,28.0,29.8,78.6,21.565,100,8.33,24.1,996.5,7,4,27,2342.28,6.0,176.6320324,2
30.0,24.4,27.8,94.2,35.527,100,12.5,16.6,996.6,8,1,32,2618.76,5.6,175.9792624,2
38.4,30.0,33.8,56.9,0.6,100,4.17,17.7,996.6,6,2,24,1923.22,8.4,152.3293471,2
36.0,25.0,30.2,74.0,0.851,100,4.17,13.0,996.7,6,2,26,2234.8,11.0,175.4345877,2
38.0,29.0,32.5,68.9,0.149,100,4.17,16.6,996.7,7,3,28,2239.25,9.0,163.3756329,2
31.1,25.0,27.5,93.3,44.428,100,12.5,11.4,1000.2,8,5,33,2565.75,6.1,179.0761323,3
34.2,26.0,28.6,88.4,9.0,100,4.17,20.5,996.7,7,3,30,2528.24,8.2,177.4220242,2
32.4,28.0,29.6,87.4,0.51,100,4.17,18.4,996.8,7,4,27,2587.04,4.4,172.2241954,2
37.2,25.3,32.1,66.6,26.494,100,8.33,21.3,996.8,7,0,27,2137.86,11.9,164.9072782,2
31.8,26.0,28.9,88.6,0.538,100,8.33,10.6,996.9,8,4,33,2560.54,5.8,175.3709901,2
34.0,25.5,29.5,87.2,9.747,100,4.17,14.8,997.2,7,2,27,2572.4,8.5,173.0074661,2
37.1,28.0,32.1,61.7,3.403,100,4.17,18.4,997.2,6,0,26,1980.57,9.1,162.8936528,2
35.8,28.0,31.6,75.7,0.0,0,0.0,14.8,1002.1,8,5,34,2392.12,7.8,167.5469575,1
41.0,27.0,34.0,51.0,20.046,100,8.33,32.7,997.2,7,4,26,1734.0,14.0,146.2639759,2
34.1,27.0,30.7,84.1,5.955,100,4.17,11.2,997.3,7,3,29,2581.87,7.1,168.4406371,2
36.6,25.3,31.3,72.6,0.299,100,4.17,18.4,997.3,7,5,28,2272.38,11.3,169.6169813,2
32.6,27.0,29.5,72.0,0.0,0,0.0,15.0,1004.2,8,2,35,2124.0,5.6,179.3162887,1
32.7,26.9,29.3,83.2,3.449,100,12.5,19.8,997.3,7,0,30,2437.76,5.8,177.2636028,2
35.3,27.0,30.5,71.2,0.0,0,0.0,7.8,1008.6,9,4,37,2171.6,8.3,173.8498962,1
36.1,27.0,31.2,69.5,0.0,0,0.0,16.6,1005.8,9,5,37,2168.4,9.1,170.0109062,1
34.1,22.9,29.5,66.2,0.0,0,0.0,18.4,1003.4,9,0,38,1952.9,11.2,177.9002059,1
35.1,24.3,29.5,61.4,0.0,0,0.0,14.0,1003.9,9,1,38,1811.3,10.8,175.1311125,0
35.3,24.4,29.6,63.0,0.0,0,0.0,18.4,1003.7,9,2,38,1864.8,10.9,175.7126973,0
35.1,25.0,29.8,66.7,0.0,0,0.0,11.9,1003.5,9,3,38,1987.66,10.1,176.5399163,0
36.9,28.5,32.2,71.8,0.897,100,8.33,29.9,997.3,8,3,32,2311.96,8.4,164.9834104,2
33.0,24.0,28.9,77.6,0.0,0,0.0,16.8,1003.1,9,6,38,2242.64,9.0,182.1518908,1
34.0,26.9,30.0,74.4,0.0,0,0.0,12.2,1002.4,9,0,39,2232.0,7.1,176.4969832,1
38.0,24.0,31.6,66.5,5.955,100,4.17,18.4,997.4,6,4,23,2101.4,14.0,167.3388299,2
36.2,26.0,31.1,73.7,42.532,100,8.33,19.3,997.4,7,3,29,2292.07,10.2,170.5874619,2
34.4,23.8,28.7,77.0,28.552,100,4.17,29.4,997.4,7,0,29,2209.9,10.6,183.46511,2
35.0,25.0,29.4,74.3,0.0,0,0.0,11.2,1006.0,9,5,39,2184.42,10.0,179.8545126,1
36.1,27.0,31.0,72.9,0.7,100,12.5,15.3,997.5,7,5,26,2259.9,9.1,171.1902796,2
35.0,27.2,31.1,76.2,0.51,100,4.17,16.6,997.5,7,0,28,2369.82,7.8,170.1175299,2
31.4,26.6,28.7,91.0,0.851,100,4.17,16.6,997.5,7,0,30,2611.7,4.8,174.1165843,2
32.0,24.0,27.7,77.4,0.0,0,0.0,18.4,1008.0,10,0,42,2143.98,8.0,189.3041361,1
32.4,23.0,26.7,74.3,0.0,0,0.0,14.8,1009.1,10,1,42,1983.81,9.4,195.5700266,1
33.2,22.0,27.5,71.3,0.0,0,0.0,9.4,1010.4,10,3,42,1960.75,11.2,190.4839473,0
32.6,23.0,27.3,72.4,0.0,0,0.0,12.2,1011.4,10,4,42,1976.52,9.6,191.8340848,0
32.5,21.0,25.8,66.3,0.0,0,0.0,15.5,1012.0,10,5,42,1710.54,11.5,198.1458479,0
32.0,19.0,25.2,64.1,0.0,0,0.0,9.4,1011.6,10,6,42,1615.32,13.0,199.9436204,0
31.0,19.0,24.8,63.8,0.0,0,0.0,12.7,1009.8,10,0,43,1582.24,12.0,201.951393,0
33.0,18.0,24.9,65.6,0.0,0,0.0,9.4,1011.4,10,1,43,1633.44,15.0,202.8313298,0
31.6,19.9,25.2,67.6,0.0,0,0.0,11.2,1013.5,10,2,43,1703.52,11.7,202.4087147,0
30.2,19.6,25.0,69.1,0.0,0,0.0,8.6,1013.7,10,3,43,1727.5,10.6,204.3992609,1
29.4,19.0,24.1,71.4,0.0,0,0.0,11.2,1011.9,10,4,43,1720.74,10.4,210.9048147,0
30.0,19.0,24.2,71.7,0.0,0,0.0,8.3,1011.6,10,5,43,1735.14,11.0,210.3912677,0
